Asset ID,Customer,Customer Code,Location,Location Code,Place,Asset Type,Route,Asset Class,Item Code,Item,Spoiled Qty,Inventory Over/Short Qty,Sold Qty,Total Revenue,Sales Tax
5593,RCMP - 51277,51277,RCMP Head Quarters,51277,,Pepsi Cooler,Route 20,,880479,Red Bull Innovation,0,0,1,$3.37,$0.36
6002,Canada Revenue Agency,70040,CRA Winnipeg MicroMarket,52153,,Coke Cooler,Route 06 - Taxation,,880479,Red Bull Innovation,0,0,1,$3.37,$0.36
6066,Transolutions Truck Centres Ltd,,Transolutions Head Office,2373,,Beverage Cooler,Route 03,Beverage Cooler,880479,Red Bull Innovation,0,0,1,$3.37,$0.36
6230,Parian Logistics,,Parian Warehouse Lunchroom,,,Deli Cooler,Route 05,Other,880478,Oh Snap Hottie Bites,0,0,1,$3.68,$0.39
3694,Manitoba Blue Cross,50475,Manitoba Blue Cross,4307,,Drink Cooler,Route 20,Beverage Cooler,880477,Oh Snap Dilly Bites,0,0,0,$0.00,$0.00
6211,Amstead Canada Inc.,70115,Amstead Canada Inc.,51177,,Deli Cooler,Route 13,Food Cooler,880477,Oh Snap Dilly Bites,0,0,1,$3.68,$0.39
6230,Parian Logistics,,Parian Warehouse Lunchroom,,,Deli Cooler,Route 05,Other,880477,Oh Snap Dilly Bites,0,0,2,$7.37,$0.79
6004,Canada Revenue Agency,70040,CRA Winnipeg MicroMarket,52153,,Deli Cooler,Route 06 - Taxation,,880476,McSweeney s Hot Pep N Ched,0,0,1,$4.47,$0.48
931,Grace Hospital - 70390,70390,Grace Hospital Emergency - 51047,51047,Snack,Snack (Crane Merchant),Route 04,Snack,880475,Wall Charger,0,0,1,$22.34,$0.00
305,Via Rail Union Station,5193,Via Rail Union Station,,,NAT 167,Route 03,Snack,880475,Wall Charger,0,0,0,$0.00,$0.00
931,Grace Hospital - 70390,70390,Grace Hospital Emergency - 51047,51047,Snack,Snack (Crane Merchant),Route 04,Snack,880474,USB Type C Cable,0,0,1,$17.54,$0.00
305,Via Rail Union Station,5193,Via Rail Union Station,,,NAT 167,Route 03,Snack,880474,USB Type C Cable,0,0,0,$0.00,$0.00
1056,MTS Iceplex - 50566,50566,MTS Iceplex (Entrance) - 50566,50566,OLD DUTCH ONLY,NAT 981,Route 04,Snack,880472,OD Big Ridgies Extra Ketchup Chips,0,0,3,$4.92,$0.00
4778,Corydon Community Centre,70093,River Heights Arena,50301,Snack,NAT 981,Route 05,Snack,880472,OD Big Ridgies Extra Ketchup Chips,0,0,0,$0.00,$0.00
3161,City Of Winnipeg (Parks & Recreation Dept.) - 70442,70442,Winnipeg Transit (Training) - 50241,50241,,Snack NAT 168,Route 07,Snack,880472,OD Big Ridgies Extra Ketchup Chips,0,0,4,$8.48,$0.00
1335,Madison Lodge (Siloam Mission) - 52109,52109,Madison Lodge (Siloam Mission) - 52109,52109,Snack,Snack (Crane),Route 03,Snack,880472,OD Big Ridgies Extra Ketchup Chips,0,0,3,$8.74,$0.00
929,City Of Winnipeg (Parks & Recreation Dept.) - 70442,70442,North End Centennial Pool,51099,Snack,Snack (Crane),Route 07,Snack,880472,OD Big Ridgies Extra Ketchup Chips,0,0,1,$1.32,$0.00
4601,Larga Kivalliq Ltd.,52138,Kivalliq Inuit Center,52138,Snack,Snack (Crane),Route 05,Snack,880472,OD Big Ridgies Extra Ketchup Chips,0,0,2,$4.46,$0.00
683,Emergent Biosolutions,50018,Emergent Biosolutions Micromarket,50018,,Snack Section,Route 05,,880472,OD Big Ridgies Extra Ketchup Chips,0,0,1,$2.23,$0.24
5059,Standard Aero,70076,Standard Aero Plant 6,50023,,Micro Snack Unit,Route 04,,880472,OD Big Ridgies Extra Ketchup Chips,0,0,1,$2.23,$0.24
5166,Quintex Services Ltd,50171,Quintex Services Ltd,50171,,Snack 1,Route 21,,880472,OD Big Ridgies Extra Ketchup Chips,0,0,1,$2.23,$0.24
1467,City Of Winnipeg (Parks & Recreation Dept.) - 70442,70442,Seven Oaks Pool,51097,,Nat 949D chiller,Route 03,GF Food,880472,OD Big Ridgies Extra Ketchup Chips,0,0,4,$6.44,$0.00
3082,Main Street Project,,MSP - The Bell Hotel,50208,,NAT 158,Route 07,Snack,880472,OD Big Ridgies Extra Ketchup Chips,0,0,8,$23.97,$0.00
5865,Seven Oaks Hospital,70096,Seven Oaks Hospital Emergency - 50429,50429,,147 With VE Replacement Door,Route 03,Snack,880472,OD Big Ridgies Extra Ketchup Chips,0,0,2,$9.65,$0.00
1344,Main Street Project,,MSP - Mainstay (75 Martha),4738,,NAT 158,Route 07,Snack,880472,OD Big Ridgies Extra Ketchup Chips,0,0,4,$8.30,$0.00
610,Storm Catering,70144,Misericordia Hospital Cafeteria,,,NAT 180D,Route 05,Snack,880472,OD Big Ridgies Extra Ketchup Chips,0,0,3,$6.65,$0.00
4842,Gerdau Manitoba,70309,MRM Office R1 - 52143,52143,,M-167,Route 12,Snack,880472,OD Big Ridgies Extra Ketchup Chips,0,0,3,$9.97,$0.00
3305,Thorwin Properties,50585,Antares Luxury Suites,,,Snack (AP),Route 07,Snack,880472,OD Big Ridgies Extra Ketchup Chips,0,0,5,$5.77,$0.00
6046,Standard Aero,70076,Standard Aero Plant 2,4405,,Snack Section,Route 04,Other,880472,OD Big Ridgies Extra Ketchup Chips,0,0,1,$2.23,$0.24
5587,Adaria Vending Services,50628,Activate Games - Winnipeg West,,,Snack (USI),Route 04,Snack,880472,OD Big Ridgies Extra Ketchup Chips,0,0,4,$9.94,$0.00
3161,City Of Winnipeg (Parks & Recreation Dept.) - 70442,70442,Winnipeg Transit (Training) - 50241,50241,,Snack NAT 168,Route 07,Snack,880471,FL Big Grab Cheetos Cheddar Popcorn,7,0,0,$0.00,$0.00
5972,Storm Catering,70144,Misericordia Hospital Cornish Entrance,,,Snack (Crane Merchant),Route 05,Snack,880471,FL Big Grab Cheetos Cheddar Popcorn,6,0,0,$0.00,$0.00
1387,Food Systems Managment,70126,Riverview Health Center,50604,Snack,NAT 981,Route 05,Snack,880471,FL Big Grab Cheetos Cheddar Popcorn,4,0,2,$1.87,$0.00
90004,Carte International Inc,70165,Carte International (OCS),183,,Unknown,Route 16 - OCS#1,Unknown,880466,Mother Parkers Exclusive Blend 6oz,0,0,8,$540.00,$0.00
931,Grace Hospital - 70390,70390,Grace Hospital Emergency - 51047,51047,Snack,Snack (Crane Merchant),Route 04,Snack,880465,Huer Sour Brats,0,0,0,$0.00,$0.00
1056,MTS Iceplex - 50566,50566,MTS Iceplex (Entrance) - 50566,50566,OLD DUTCH ONLY,NAT 981,Route 04,Snack,880465,Huer Sour Brats,0,0,9,$26.33,$0.00
4778,Corydon Community Centre,70093,River Heights Arena,50301,Snack,NAT 981,Route 05,Snack,880465,Huer Sour Brats,0,0,1,$2.07,$0.00
332,Arden Appartments - 52085,52085,Arden Appartments - 52085,52085,Snack,Snack (inOne),Route 13,Snack,880465,Huer Sour Brats,0,0,1,$3.64,$0.00
20,Fairmont Hotel,50636,Fairmont Hotel,4465,Snack,NAT 167D,Route 07,Snack,880465,Huer Sour Brats,0,0,2,$4.38,$0.00
4601,Larga Kivalliq Ltd.,52138,Kivalliq Inuit Center,52138,Snack,Snack (Crane),Route 05,Snack,880465,Huer Sour Brats,0,0,1,$2.48,$0.00
4643,TEAMS Transport - 51223,51223,TEAMS Transport - 51223,51223,,Snack (Crane),Route 13,Snack,880465,Huer Sour Brats,0,0,0,$0.00,$0.00
3305,Thorwin Properties,50585,Antares Luxury Suites,,,Snack (AP),Route 07,Snack,880465,Huer Sour Brats,0,0,1,$2.65,$0.00
306,City Of Winnipeg (Parks & Recreation Dept.) - 70442,70442,St. James Civic Centre,50818,snack,NAT 181D,Route 04,Snack,880465,Huer Sour Brats,0,0,2,$6.77,$0.00
4745,Black Cat Wear Parts,50355,Black Cat Foundry,50355,,NAT 167D,Route 12,Snack,880465,Huer Sour Brats,0,0,2,$5.19,$0.00
4135,City Of Winnipeg (Parks & Recreation Dept.) - 70442,70442,BONIVITAL POOL - 51090,51090,Snack,Nat 949D chiller,Route 13,GF Food,880464,Huer Sour Peach Slices,0,0,3,$6.04,$0.00
4778,Corydon Community Centre,70093,River Heights Arena,50301,Snack,NAT 981,Route 05,Snack,880464,Huer Sour Peach Slices,0,0,1,$4.43,$0.00
929,City Of Winnipeg (Parks & Recreation Dept.) - 70442,70442,North End Centennial Pool,51099,Snack,Snack (Crane),Route 07,Snack,880464,Huer Sour Peach Slices,0,-4,0,$0.00,$0.00
5173,City Of Winnipeg (Parks & Recreation Dept.) - 70442,70442,Pan Am Pool - 51092,51092,Peanut Free,Snack Crane 187D,Route 05,Snack,880464,Huer Sour Peach Slices,0,0,2,$6.43,$0.00
1467,City Of Winnipeg (Parks & Recreation Dept.) - 70442,70442,Seven Oaks Pool,51097,,Nat 949D chiller,Route 03,GF Food,880464,Huer Sour Peach Slices,0,0,1,$3.43,$0.00
3082,Main Street Project,,MSP - The Bell Hotel,50208,,NAT 158,Route 07,Snack,880464,Huer Sour Peach Slices,0,1,1,$3.03,$0.00
1344,Main Street Project,,MSP - Mainstay (75 Martha),4738,,NAT 158,Route 07,Snack,880464,Huer Sour Peach Slices,0,6,5,$10.65,$0.00
4643,TEAMS Transport - 51223,51223,TEAMS Transport - 51223,51223,,Snack (Crane),Route 13,Snack,880464,Huer Sour Peach Slices,0,0,0,$0.00,$0.00
3305,Thorwin Properties,50585,Antares Luxury Suites,,,Snack (AP),Route 07,Snack,880464,Huer Sour Peach Slices,0,0,2,$2.85,$0.00
5587,Adaria Vending Services,50628,Activate Games - Winnipeg West,,,Snack (USI),Route 04,Snack,880464,Huer Sour Peach Slices,0,1,8,$24.38,$0.00
765,Canadian Blood Services,50302,Canadian Blood Services,,,NAT 167D,Route 07,Snack,880464,Huer Sour Peach Slices,0,0,0,$0.00,$0.00
3347,LOGYX Management Solutions Inc,50303,Red River Pointe (Avenue Living),,,AP 123A VE Door,Route 07,Snack,880464,Huer Sour Peach Slices,0,-1,0,$0.00,$0.00
306,City Of Winnipeg (Parks & Recreation Dept.) - 70442,70442,St. James Civic Centre,50818,snack,NAT 181D,Route 04,Snack,880464,Huer Sour Peach Slices,0,0,5,$15.63,$0.00
4503,Deer Lodge Centre,70203,Deer Lodge Centre,50613,Snack,Snack (Crane Merchant),Route 04,Snack,880456,Kirkland Dipped & Chewy Granola Bar,0,0,0,$0.00,$0.00
317,Food Systems Managment,70126,Oak Park High School - 50505,50505,Peanut Free,NAT 181D,Route 04,Snack,880456,Kirkland Dipped & Chewy Granola Bar,0,0,0,$0.00,$0.00
5059,Standard Aero,70076,Standard Aero Plant 6,50023,,Micro Snack Unit,Route 04,,880452,Pringles Sour Cream & Onion,0,0,1,$2.23,$0.24
1078,Manitoba Blue Cross,50475,Manitoba Blue Cross,4307,,Snacks,Route 20,,880452,Pringles Sour Cream & Onion,0,0,0,$0.00,$0.00
5600,RCMP - 51277,51277,RCMP Head Quarters,51277,,Snack 3,Route 20,,880452,Pringles Sour Cream & Onion,0,0,1,$2.23,$0.24
5165,Quintex Services Ltd,50171,Quintex Services Ltd,50171,,Snack 2,Route 21,,880452,Pringles Sour Cream & Onion,0,0,2,$4.46,$0.48
6190,Costco 153 - Winnipeg East,52094,Costco 153 - Winnipeg East,52094,,Snack 4,Route 13,Snack Rack,880452,Pringles Sour Cream & Onion,0,0,1,$3.01,$0.32
5205,Sysco - 50101,50101,Sysco,50101,,Snack 2,Route 05,,880451,Pringles Original,0,0,1,$2.45,$0.26
1078,Manitoba Blue Cross,50475,Manitoba Blue Cross,4307,,Snacks,Route 20,,880451,Pringles Original,0,0,1,$2.45,$0.26
5548,CP Network Services - 51269,51269,CP Network Services - 51269,51269,,Snack Rack,Route 03,,880451,Pringles Original,0,0,1,$2.45,$0.26
5066,Cabelas Canada,50019,Cabelas Head Office,4030,,Snack 1,Route 13,,880451,Pringles Original,0,0,1,$2.23,$0.24
5600,RCMP - 51277,51277,RCMP Head Quarters,51277,,Snack 3,Route 20,,880451,Pringles Original,0,0,1,$2.23,$0.24
5165,Quintex Services Ltd,50171,Quintex Services Ltd,50171,,Snack 2,Route 21,,880451,Pringles Original,0,0,1,$2.23,$0.24
6013,Canada Revenue Agency,70040,CRA Winnipeg MicroMarket,52153,,Snack 3,Route 06 - Taxation,,880451,Pringles Original,0,0,1,$2.45,$0.26
5205,Sysco - 50101,50101,Sysco,50101,,Snack 2,Route 05,,880450,Pringles BBQ,0,0,1,$2.45,$0.26
1078,Manitoba Blue Cross,50475,Manitoba Blue Cross,4307,,Snacks,Route 20,,880450,Pringles BBQ,0,0,0,$0.00,$0.00
5600,RCMP - 51277,51277,RCMP Head Quarters,51277,,Snack 3,Route 20,,880450,Pringles BBQ,0,0,1,$2.22,$0.23
5548,CP Network Services - 51269,51269,CP Network Services - 51269,51269,,Snack Rack,Route 03,,880448,Twizzlers Twists,0,0,1,$2.23,$0.24
5599,RCMP - 51277,51277,RCMP Head Quarters,51277,,Snack 2,Route 20,,880448,Twizzlers Twists,0,0,2,$4.46,$0.48
5127,Old Dutch Foods,51266,Old Dutch Foods - Bental,3265,,Snacks,Route 07,Snack Rack,880448,Twizzlers Twists,0,0,1,$2.23,$0.24
6188,Costco 153 - Winnipeg East,52094,Costco 153 - Winnipeg East,52094,,Snack 2,Route 13,Snack Rack,880448,Twizzlers Twists,0,0,1,$2.00,$0.21
1078,Manitoba Blue Cross,50475,Manitoba Blue Cross,4307,,Snacks,Route 20,,880447,Turtles Minis Original,0,0,0,$0.00,$0.00
6012,Canada Revenue Agency,70040,CRA Winnipeg MicroMarket,52153,,Snack 2,Route 06 - Taxation,,880447,Turtles Minis Original,0,0,1,$5.59,$0.60
6177,Costco 153 - Winnipeg East,52094,Costco 153 - Winnipeg East,52094,,Snack 1,Route 13,Snack Rack,880446,Tic Tac Orange,0,0,1,$2.23,$0.24
6218,Costco 549 - Winnipeg South,50439,Costco 549 - Winnipeg South,,,Kiosk Snack,Route 05,,880446,Tic Tac Orange,0,0,3,$6.69,$0.72
1078,Manitoba Blue Cross,50475,Manitoba Blue Cross,4307,,Snacks,Route 20,,880445,Tic Tac Fresh Mint,0,0,0,$0.00,$0.00
5165,Quintex Services Ltd,50171,Quintex Services Ltd,50171,,Snack 2,Route 21,,880445,Tic Tac Fresh Mint,0,0,2,$4.24,$0.46
6188,Costco 153 - Winnipeg East,52094,Costco 153 - Winnipeg East,52094,,Snack 2,Route 13,Snack Rack,880444,Skittles Original Peg Bag,0,0,1,$3.91,$0.42
6177,Costco 153 - Winnipeg East,52094,Costco 153 - Winnipeg East,52094,,Snack 1,Route 13,Snack Rack,880442,Nutri Grain Bar Blueberry,0,0,1,$1.29,$0.00
1078,Manitoba Blue Cross,50475,Manitoba Blue Cross,4307,,Snacks,Route 20,,880440,Maynards Swedish Berries,0,0,0,$0.00,$0.00
6065,Transolutions Truck Centres Ltd,,Transolutions Head Office,2373,,Snack 2,Route 03,Snack Rack,880440,Maynards Swedish Berries,0,0,1,$4.47,$0.48
6209,Amstead Canada Inc.,70115,Amstead Canada Inc.,51177,,Large Snack,Route 13,Snack Rack,880439,Maynards Sour Patch Kids,0,0,1,$4.47,$0.48
5205,Sysco - 50101,50101,Sysco,50101,,Snack 2,Route 05,,880438,Maynards Fuzzy Peach,0,0,1,$4.47,$0.48
1078,Manitoba Blue Cross,50475,Manitoba Blue Cross,4307,,Snacks,Route 20,,880438,Maynards Fuzzy Peach,0,0,0,$0.00,$0.00
