Asset ID,Customer,Customer Code,Location,Location Code,Place,Asset Type,Route,Asset Class,Address,Address 2,City,State,Zip,Phone,Asset Family,Asset Make,Asset Model,Asset Serial Number,Branch,Commission Plan,Contact Name,Dynamic Schedule,Schedule Type,Email,Interval Schedule,Inventory Interval,Line of Business,Payment Terms,Static Schedule,Subroute,Tax Jurisdiction,Telemetry Device ID,Telemetry Supplier,Is Deployed
1024,Advance Electronics - 59500,59500,ADVANCE ELECTRONICS - 59500,59500,Pepsi,HVV 621,Quality Vending and Coffee Service warehouse,Bev,1300 Portage,,Winnipeg,MB,,,Vending Machine,Unknown,Unknown,139780,Quality Vending and Coffee Service,No Commission,Jim Jackson,Maximum Sales: $200.00; Depleted Products: 2; Days Without Visit: 42,Dynamic,,,4,Vending,Net 30,,,GST + PST,,,No
1025,Robertson College - 70368,70368,Robertson College,50998,,Coffee NAT 674,Route 03,Unknown,180 Main St,,Winnipeg,MB,,,Vending Machine,Unknown,Unknown,674-010905,Quality Vending and Coffee Service,10% of Sales,Jim Jackson,,Static,,,999,Vending,Net 30,1: Tue Fri,Downtown,GST + PST,,,Yes
1027,1-Service,1,9998-Sold/Destroyed,,,Snack (Crane),Quality Vending and Coffee Service warehouse,Snack,,,,MB,,,Vending Machine,Crane,143,50801,Quality Vending and Coffee Service,No Commission,Jim Jackson,,Static,,,4,Vending,Net 30,1: Wed,,GST + PST,,,No
1027,JR STEPHENSON (CARTER DAY) - 52013,52013,JR STEPHENSON (CARTER DAY),,,Snack (Crane),Quality Vending and Coffee Service warehouse,Snack,1425 WHYTE AVE,,WINNIPEG,MB,,,Vending Machine,Crane,143,50801,Quality Vending and Coffee Service,No Commission,Jim Jackson,,Static,,,4,Vending,Net 30,1: Wed,,GST + PST,,,No
1028,Ventrex - 70341,70341,HOME DEPOT (REGENT) - 50012,50012,,Coffee FB NAT 627,Route 13,Unknown,1590 Regent Ave.,,Winnipeg,MB,R2C 3B4,,Vending Machine,Unknown,Unknown,627-14615,Quality Vending and Coffee Service,14% of Sales,Jim Jackson,,,,,999,Vending,Net 30,,Winnipeg SE,GST + PST,,,No
1028,Unassigned (in Quality Vending and Coffee Service warehouse),,Unassigned (in Quality Vending and Coffee Service warehouse),,,Coffee FB NAT 627,Sold or Destroyed,Unknown,,,,,,,Vending Machine,Unknown,Unknown,627-14615,Quality Vending and Coffee Service,14% of Sales,Jim Jackson,,,,,999,Vending,Net 30,,,Tax Exempt,,,No
103,RONDS MARINE - 52054,52054,RONDS MARINE - 52054,52054,,Bev (Vendo),OCS - Dennis,Bev,1350 DUGALD RD,,Winnipeg,MB,,,Vending Machine,Vendo,V 511,729465,Quality Vending and Coffee Service,No Commission,Jim Jackson,,Static,,,0,Vending,Net 30,1: Wed; 2:,,GST + PST,,,No
103,Unassigned (in Quality Vending and Coffee Service warehouse),,Unassigned (in Quality Vending and Coffee Service warehouse),,,Bev (Vendo),Returned To Pepsi,Bev,,,,,,,Vending Machine,Vendo,V 511,729465,Quality Vending and Coffee Service,No Commission,Jim Jackson,,Static,,,0,Vending,Net 30,1: Wed; 2:,,Tax Exempt,,,No
103,1-Service,1,9998-Sold/Destroyed,,,Bev (Vendo),Quality Vending and Coffee Service warehouse,Bev,,,,MB,,,Vending Machine,Vendo,V 511,729465,Quality Vending and Coffee Service,No Commission,Jim Jackson,,Static,,,0,Vending,Net 30,1: Wed; 2:,,GST + PST,,,No
1033,Johnston Group,52033,Johnston Group,4990,Pepsi,Bev (Vendo),Route 03,Bev,1051 King Edward St,,Winnipeg,MB,R3H 0R4,,Vending Machine,Vendo,721,1440503 D,Quality Vending and Coffee Service,No Commission,Jim Jackson,Maximum Sales: $200.00; Depleted Products: 2; Days Without Visit: 28,Dynamic,,,4,Vending,Net 30,,Micromarkets,GST + PST,,,No
1033,Loewen Windows - 70146,70146,Loewen Windows (Central Bistro) - 50350,50350,Pepsi,Bev (Vendo),Route 12,Bev,77 Highway 52 West,,Steinbach,MB,R5G 1B2,,Vending Machine,Vendo,721,1440503 D,Quality Vending and Coffee Service,No Commission,Jim Jackson,Maximum Sales: $200.00; Depleted Products: 2; Days Without Visit: 28,Dynamic,,,4,Vending,Net 30,,Steinbach,GST + PST,C014117030132,Coinco,Yes
10333,Canada Post,52131,Canada Post - 52131,52131,,Deli Cooler,Route 04,,Wellington,,Winnipeg,MB,,,Market Section,,,,Quality Vending and Coffee Service,No Commission,Jim Jackson,,Static,,,3,Market,Net 30,1: Mon Tue Wed Thu Fri,Micromarkets,GST + PST,,,No
10334,Canada Post,52131,Canada Post - 52131,52131,,Pepsi Cooler,Route 04,,Wellington,,Winnipeg,MB,,,Market Section,,,,Quality Vending and Coffee Service,No Commission,Jim Jackson,,,,,3,Market,Net 30,,Micromarkets,GST + PST,,,No
1036,Vickar Ford,50549,Vickar Ford,890,,HVV 621,Route 03,Bev,2000 Main St,,Winnipeg,MB,R2V 2B8,(204) 339-2000,Vending Machine,Vendo,621/721/821,161172,Quality Vending and Coffee Service,10% of Sales,Jim Jackson,Maximum Sales: $150.00; Depleted Products: 2; Days Without Visit: 28,Dynamic,,,4,Vending,Net 30,,North,GST + PST,C014718050061,Coinco,Yes
1036,Ventrex - 70341,70341,IKEA Customer Service - 50432,50432,PEPSI,HVV 621,Quality Vending and Coffee Service warehouse,Bev,500 Sterling Lyon Pkwy,,Winnipeg,MB,,,Vending Machine,Unknown,Unknown,161172,Quality Vending and Coffee Service,14% of Sales,Jim Jackson,Maximum Sales: $150.00; Depleted Products: 2; Days Without Visit: 28,Dynamic,,,4,Vending,Net 30,,,GST + PST,,,No
1039,70038-Compass Group Canada (St.Boniface Hospital),,50531-St.Boniface Hospital Atrium Paystation,50531,Pepsi,DN 5800-4,Quality Vending and Coffee Service warehouse,Bev,409 Taché Avenue,,Winnipeg,MB,,,Vending Machine,DN,Unknown,95460048,Quality Vending and Coffee Service,No Commission,Jim Jackson,Maximum Sales: $200.00; Depleted Products: 4; Days Without Visit: 21,Dynamic,,,0,Vending,Net 30,,,GST + PST,,,No
1039,Unassigned (in Quality Vending and Coffee Service warehouse),,Unassigned (in Quality Vending and Coffee Service warehouse),,,DN 5800-4,Returned To Pepsi,Bev,,,,,,,Vending Machine,DN,Unknown,95460048,Quality Vending and Coffee Service,No Commission,Jim Jackson,Maximum Sales: $200.00; Depleted Products: 4; Days Without Visit: 21,Dynamic,,,0,Vending,Net 30,,,Tax Exempt,,,No
1039,1-Service,1,9998-Sold/Destroyed,,,DN 5800-4,Quality Vending and Coffee Service warehouse,Bev,,,,MB,,,Vending Machine,DN,Unknown,95460048,Quality Vending and Coffee Service,No Commission,Jim Jackson,Maximum Sales: $200.00; Depleted Products: 4; Days Without Visit: 21,Dynamic,,,0,Vending,Net 30,,,GST + PST,,,No
104,Unassigned (in Quality Vending and Coffee Service warehouse),,Unassigned (in Quality Vending and Coffee Service warehouse),,,Coffee FB NAT 633,Quality Vending and Coffee Service warehouse,Unknown,,,,,,,Vending Machine,Unknown,Unknown,633-14034,Quality Vending and Coffee Service,No Commission,Jim Jackson,,,,,999,Vending,Net 30,,,Tax Exempt,,,No
104,Rehau - 50502,50502,REHAU - 50502,50502,,Coffee FB NAT 633,Quality Vending and Coffee Service warehouse,Unknown,11 PLYMOUTH ST.,,Winnipeg,MB,R2X 2V5,,Vending Machine,Unknown,Unknown,633-14034,Quality Vending and Coffee Service,No Commission,Jim Jackson,,,,,999,Vending,Net 30,,,GST + PST,,,No
1042,Sport Manitoba - 70063,70063,Sport Manitoba - 50125,50125,BOTTLE PEPSI,V 576,Quality Vending and Coffee Service warehouse,Bev,145 Pacific Ave.,,Winnipeg,MB,R3B 2Z6,,Vending Machine,Unknown,Unknown,983461,Quality Vending and Coffee Service,Commission Account,Jim Jackson,Maximum Sales: $200.00; Depleted Products: 2; Days Without Visit: 28,Dynamic,,,4,Vending,Net 30,,,GST + PST,,,No
1042,Unassigned (in Quality Vending and Coffee Service warehouse),,Unassigned (in Quality Vending and Coffee Service warehouse),,,V 576,Sold or Destroyed,Unknown,,,,,,,Vending Machine,Unknown,Unknown,983461,Quality Vending and Coffee Service,No Commission,Jim Jackson,Maximum Sales: $200.00; Depleted Products: 2; Days Without Visit: 28,Dynamic,,,4,Vending,Net 30,,,Tax Exempt,,,No
1042,1-Service,1,9998-Sold/Destroyed,,,V 576,Quality Vending and Coffee Service warehouse,Unknown,,,,MB,,,Vending Machine,Unknown,Unknown,983461,Quality Vending and Coffee Service,No Commission,Jim Jackson,Maximum Sales: $200.00; Depleted Products: 2; Days Without Visit: 28,Dynamic,,,4,Vending,Net 30,,,GST + PST,,,No
1043,1-Service,1,9998-Sold/Destroyed,,COIN CHANGER,SC5-C,Quality Vending and Coffee Service warehouse,Unknown,,,,MB,,,Non-Revenue Equipment,Unknown,Unknown,083074-9,Quality Vending and Coffee Service,No Commission,Jim Jackson,,,,,,Vending,Net 30,,,GST + PST,,,No
1043,Unassigned (in Quality Vending and Coffee Service warehouse),,Unassigned (in Quality Vending and Coffee Service warehouse),,,SC5-C,Sold or Destroyed,Unknown,,,,,,,Non-Revenue Equipment,Unknown,Unknown,083074-9,Quality Vending and Coffee Service,No Commission,Jim Jackson,,,,,,Vending,Net 30,,,Tax Exempt,,,No
1044,Arden Appartments - 52085,52085,Arden Appartments - 52085,52085,Pepsi,Bev (Vendo),Route 13,Bev,11 ARDEN AVE.,,WINNIPEG,MB,,,Vending Machine,Vendo,721,1228423,Quality Vending and Coffee Service,10% of Sales,Jim Jackson,Maximum Sales: $200.00; Depleted Products: 2; Days Without Visit: 35,Dynamic,,,4,Vending,Net 30,,Winnipeg SE,GST + PST,C014117030118,Coinco,Yes
1047,1-Service,1,9998-Sold/Destroyed,,,V 264-148,Quality Vending and Coffee Service warehouse,Bev,,,,MB,,,Vending Machine,Unknown,Unknown,ARF 008664,Quality Vending and Coffee Service,No Commission,Jim Jackson,,Static,,,4,Vending,Net 30,1: ; 2: Wed; 3: ; 4:,,GST + PST,,,No
1047,VALLEY POWDER COATING - 52057,52057,VALLEY POWDER COATING - 52057,52057,,V 264-148,Quality Vending and Coffee Service warehouse,Unknown,15E BURY ST,,Winnipeg,MB,,,Vending Machine,Unknown,Unknown,ARF 008664,Quality Vending and Coffee Service,No Commission,Jim Jackson,,Static,,,4,Vending,Net 30,1: ; 2: Wed; 3: ; 4:,,GST + PST,,,No
1047,Unassigned (in Quality Vending and Coffee Service warehouse),,Unassigned (in Quality Vending and Coffee Service warehouse),,,V 264-148,Sold or Destroyed,Unknown,,,,,,,Vending Machine,Unknown,Unknown,ARF 008664,Quality Vending and Coffee Service,No Commission,Jim Jackson,,Static,,,4,Vending,Net 30,1: ; 2: Wed; 3: ; 4:,,Tax Exempt,,,No
1052,Standard Aero,70076,Standard Aero Plant 2,4405,Coke 500 ML,DN 5000,Quality Vending and Coffee Service warehouse,Unknown,1855 Sargent Ave,,Winnipeg,MB,R3H 0C0,,Vending Machine,Unknown,Unknown,80820298,Quality Vending and Coffee Service,No Commission,Jim Jackson,Maximum Sales: $200.00; Depleted Products: 4; Days Without Visit: 35,Dynamic,"elizabeth.wallace@standardaero.com,Cheryl.Loewen@standardAero.com",,4,Vending,Net 30,,,GST + PST,,,No
1052,1-Service,1,1-Service Prep,1,,DN 5000,Quality Vending and Coffee Service warehouse,Unknown,91 Plymouth Street,,Winnipeg,MB,,,Vending Machine,Unknown,Unknown,80820298,Quality Vending and Coffee Service,No Commission,Jim Jackson,Maximum Sales: $200.00; Depleted Products: 4; Days Without Visit: 35,Dynamic,dave@qualityvending.ca,,4,Vending,Net 30,,,GST + PST,,,No
1052,Unassigned (in Quality Vending and Coffee Service warehouse),,Unassigned (in Quality Vending and Coffee Service warehouse),,,DN 5000,Returned To Coke,Unknown,,,,,,,Vending Machine,Unknown,Unknown,80820298,Quality Vending and Coffee Service,No Commission,Jim Jackson,Maximum Sales: $200.00; Depleted Products: 4; Days Without Visit: 35,Dynamic,,,4,Vending,Net 30,,,Tax Exempt,,,No
1054,Unassigned (in Quality Vending and Coffee Service warehouse),,Unassigned (in Quality Vending and Coffee Service warehouse),,,SERVOMATIC HBA II,Sold or Destroyed,Unknown,,,,,,,Non-Revenue Equipment,Unknown,Unknown,78085195318,Quality Vending and Coffee Service,No Commission,Jim Jackson,,Static,,,,Vending,Net 30,1: ; 2: Thu,,Tax Exempt,,,No
1054,1-Service,1,9999-Inventory,,,SERVOMATIC HBA II,Route 04,Coffee,91 Plymouth Street,,Winnipeg,MB,,,Non-Revenue Equipment,Unknown,Unknown,78085195318,Quality Vending and Coffee Service,No Commission,Jim Jackson,,,,,,Vending,Net 30,,Winnipeg West,GST + PST,,,No
1054,1-Service,1,1-Service Prep,1,,SERVOMATIC HBA II,Quality Vending and Coffee Service warehouse,Unknown,91 Plymouth Street,,Winnipeg,MB,,,Non-Revenue Equipment,Unknown,Unknown,78085195318,Quality Vending and Coffee Service,No Commission,Jim Jackson,,Static,dave@qualityvending.ca,,,Vending,Net 30,1: ; 2: Thu,,GST + PST,,,No
1056,MTS Iceplex - 50566,50566,MTS Iceplex (Entrance) - 50566,50566,OLD DUTCH ONLY,NAT 981,Route 04,Snack,3969 Portage Ave,,Winnipeg,MB,R3K 1W4,,Vending Machine,Crane,Merchant,981-010504,Quality Vending and Coffee Service,15% of Sales,Jim Jackson,Maximum Sales: $150.00; Depleted Products: 4; Days Without Visit: 28,Dynamic,,,4,Vending,Net 30,,Winnipeg West,GST + PST,C014614841462,Coinco,Yes
1058,50147-EMERGENT BIOSOLUTIONS,,EMERGENT BIOSOLUTIONS (Henlow),,Snack,A.P. 111,Quality Vending and Coffee Service warehouse,Unknown,26 Henlow Bay,,Winnipeg,MB,,,Vending Machine,Unknown,Unknown,111007541,Quality Vending and Coffee Service,,Jim Jackson,Maximum Sales: $100.00; Depleted Products: 4; Days Without Visit: 28,Dynamic,,,4,Vending,Net 30,,,,,,No
1058,Aspire Bakeries,70131,Arzyta Foods - 51196,51196,Peanut Free,A.P. 111,Route 03,Snack,1535 Inkster blvd,,Winnipeg,MB,R2X 1R2,,Vending Machine,AP,11x,111007541,Quality Vending and Coffee Service,10% of Sales,Jim Jackson,Maximum Sales: $100.00; Depleted Products: 4; Days Without Visit: 28,Dynamic,,,4,Vending,Net 30,,North,GST + PST,181850,Cantaloupe,Yes
1059,Unassigned (in Quality Vending and Coffee Service warehouse),,Unassigned (in Quality Vending and Coffee Service warehouse),,,A.P. 111,Sold or Destroyed,Unknown,,,,,,,Vending Machine,Unknown,Unknown,111007553,Quality Vending and Coffee Service,No Commission,Jim Jackson,Maximum Sales: $200.00; Depleted Coils: 4; Days Without Visit: 35,Dynamic,,,4,Vending,Net 30,,,Tax Exempt,,,No
1059,City of Winnipeg - 68004,68004,City Hall Council (Lower Level) - 50438,50438,SNACKS,A.P. 111,Route 13,Unknown,510 Main Street,,Winnipeg,MB,,,Vending Machine,Unknown,Unknown,111007553,Quality Vending and Coffee Service,No Commission,Jim Jackson,Maximum Sales: $200.00; Depleted Coils: 4; Days Without Visit: 35,Dynamic,,,4,Vending,Net 30,,Winnipeg St Boniface,GST + PST,,,No
1064,Canada Life,70124,Canada Life (Coatroom) - 50321,50321,BOTTLE COKE 500ML,Coke - RVRVV-500-40,Route 05,Unknown,60 Osborne Street,,Winnipeg,MB,,,Vending Machine,Unknown,Unknown,200911PA00024,Quality Vending and Coffee Service,15% of Sales,Jim Jackson,Maximum Sales: $200.00; Depleted Products: 4; Days Without Visit: 14,Dynamic,,,4,Vending,Net 30,,Winnipeg Central,GST + PST,,,No
1064,Unassigned (in Quality Vending and Coffee Service warehouse),,Unassigned (in Quality Vending and Coffee Service warehouse),,,Coke - RVRVV-500-40,Quality Vending and Coffee Service warehouse,Unknown,,,,,,,Vending Machine,Unknown,Unknown,200911PA00024,Quality Vending and Coffee Service,No Commission,Jim Jackson,Maximum Sales: $200.00; Depleted Products: 4; Days Without Visit: 14,Dynamic,,,4,Vending,Net 30,,,Tax Exempt,,,No
1066,Correctional Services (Osbourne Centre) - 52091,52091,Correctional Services (Osbourne Centre),52091,Pepsi,V 721,Route 07,Bev,1048 Main Street,,Winnipeg,MB,R2W 2B6,,Vending Machine,Vendo,621/721/821,1203279,Quality Vending and Coffee Service,5% of Sales,Jim Jackson,Maximum Sales: $175.00; Depleted Products: 2; Days Without Visit: 14,Dynamic,,,0,Vending,Net 30,,Winnipeg Central,GST + PST,C011217528441,Coinco,Yes
1069,Ford Fast Parts - 50500,50500,FORD FAST PARTS - 50500,50500,CANS - COKE,V 576,Quality Vending and Coffee Service warehouse,Bev,875 Bradford Street,,Winnipeg,MB,R3H 0N6,,Vending Machine,Unknown,Unknown,869703,Quality Vending and Coffee Service,No Commission,Jim Jackson,Maximum Sales: $200.00; Depleted Products: 4; Days Without Visit: 42,Dynamic,,,4,Vending,Net 30,,,GST + PST,,,No
1069,Unassigned (in Quality Vending and Coffee Service warehouse),,Unassigned (in Quality Vending and Coffee Service warehouse),,,V 576,Sold or Destroyed,Unknown,,,,,,,Vending Machine,Unknown,Unknown,869703,Quality Vending and Coffee Service,No Commission,Jim Jackson,Maximum Sales: $200.00; Depleted Products: 4; Days Without Visit: 42,Dynamic,,,4,Vending,Net 30,,,Tax Exempt,,,No
1069,1-Service,1,9998-Sold/Destroyed,,,V 576,Quality Vending and Coffee Service warehouse,Unknown,,,,MB,,,Vending Machine,Unknown,Unknown,869703,Quality Vending and Coffee Service,No Commission,Jim Jackson,Maximum Sales: $200.00; Depleted Products: 4; Days Without Visit: 42,Dynamic,,,4,Vending,Net 30,,,GST + PST,,,No
1069,1-Service,1,1-Service Prep,1,,V 576,Quality Vending and Coffee Service warehouse,Unknown,91 Plymouth Street,,Winnipeg,MB,,,Vending Machine,Unknown,Unknown,869703,Quality Vending and Coffee Service,No Commission,Jim Jackson,Maximum Sales: $200.00; Depleted Products: 4; Days Without Visit: 42,Dynamic,dave@qualityvending.ca,,4,Vending,Net 30,,,GST + PST,,,No
1071,HSC Shared Health - 70399,70399,HSC Finance,3767,Frito Lay Only,NAT 474,Route 07,Snack,791 NOTRE DAME AVENUE,,Winnipeg,MB,R3E 0M1,(204) 787-2755,Vending Machine,VE,Unknown,470-014346,Quality Vending and Coffee Service,20% of Sales,Jim Jackson,Maximum Sales: $100.00; Depleted Products: 3; Days Without Visit: 20,Dynamic,dkuz@wrha.mb.ca,,4,Vending,Net 30,,HSC,GST + PST (No GST on Commissions),C014718050027,Coinco,Yes
1078,Manitoba Blue Cross,50475,Manitoba Blue Cross,4307,,Snacks,Route 20,,599 Empress Street,,Winnipeg,MB,R3G 3P3,(204) 772-1231,Market Section,,,,Quality Vending and Coffee Service,No Commission,Jim Jackson,,,,,3,Market,Net 30,,Subroute 20,GST + PST,,,Yes
108,Unassigned (in Quality Vending and Coffee Service warehouse),,Unassigned (in Quality Vending and Coffee Service warehouse),,,MC 101,Quality Vending and Coffee Service warehouse,Unknown,,,,,,,Non-Revenue Equipment,Unknown,Unknown,308134,Quality Vending and Coffee Service,No Commission,Jim Jackson,,Static,,,,Vending,Net 30,1: Wed,,Tax Exempt,,,No
108,1-Service,1,1-Service Prep,1,COIN CHANGER,MC 101,Quality Vending and Coffee Service warehouse,Unknown,91 Plymouth Street,,Winnipeg,MB,,,Non-Revenue Equipment,Unknown,Unknown,308134,Quality Vending and Coffee Service,No Commission,Jim Jackson,,Static,dave@qualityvending.ca,,,Vending,Net 30,1: Wed,,GST + PST,,,No
1080,Maple Leaf Consumer Foods,70554,Maple Leaf Foods (Back Lunchroom) - 52038,52038,Pepsi,Bev,Route 13,Bev,870 Lagimodiere Blvd,,Winnipeg,MB,R2J 0T9,,Vending Machine,Unknown,Unknown,1400011,Quality Vending and Coffee Service,15% of Sales,Jim Jackson,Maximum Sales: $200.00; Depleted Products: 2; Days Without Visit: 28,Dynamic,,,4,Vending,Net 30,,Winnipeg NE,GST + PST,,,No
1080,Paul's Hauling Ltd - 70167,70167,Paul's Hauling (Dispatch) - 51207,51207,,Bev,Route 04,Bev,250 Oak Point Hwy,,Winnipeg,MB,R2R 1V1,,Vending Machine,Unknown,Unknown,1400011,Quality Vending and Coffee Service,No Commission,Jim Jackson,Maximum Sales: $200.00; Depleted Products: 2; Days Without Visit: 28,Dynamic,,,4,Vending,Net 30,,Winnipeg NW,GST + PST,,,No
1080,Cassidy Manufacturing,50458,Cassidy Manufacturing,,,Bev (Vendo 621/721/821),Route 04,Bev,50 Bergan Cutoff Road,,Rosser,MB,R3C 2E6,,Vending Machine,Vendo,621/721/821,1400011,Quality Vending and Coffee Service,No Commission,Jim Jackson,Maximum Sales: $200.00; Depleted Products: 2; Days Without Visit: 28,Dynamic,karen@cassidymanufacturing.com,,4,Vending,Net 30,,Winnipeg NW,GST + PST,C015116521210,Coinco,Yes
1081,1-Service,1,9998-Sold/Destroyed,,COFFEE FB,NAT 614,Quality Vending and Coffee Service warehouse,Unknown,,,,MB,,,Non-Revenue Equipment,Unknown,Unknown,50548,Quality Vending and Coffee Service,No Commission,Jim Jackson,,Static,,,,Vending,Net 30,1: ; 2: Fri,,GST + PST,,,No
1081,Unassigned (in Quality Vending and Coffee Service warehouse),,Unassigned (in Quality Vending and Coffee Service warehouse),,,NAT 614,Sold or Destroyed,Unknown,,,,,,,Non-Revenue Equipment,Unknown,Unknown,50548,Quality Vending and Coffee Service,No Commission,Jim Jackson,,Static,,,,Vending,Net 30,1: ; 2: Fri,,Tax Exempt,,,No
1082,Ventrex - 70341,70341,CFB Building 90 - 50869,50869,50869-CFB BLDG 90 BOTTLE PEPSI,V 511,Quality Vending and Coffee Service warehouse,Bev,90-680 Whytewold,,Winnipeg,MB,,,Vending Machine,Unknown,Unknown,729729,Quality Vending and Coffee Service,Commission Account,Jim Jackson,Maximum Sales: $200.00; Depleted Products: 2; Days Without Visit: 42,Dynamic,,,4,Vending,Net 30,,,GST + PST,,,No
1082,Unassigned (in Quality Vending and Coffee Service warehouse),,Unassigned (in Quality Vending and Coffee Service warehouse),,,V 511,Sold or Destroyed,Unknown,,,,,,,Vending Machine,Unknown,Unknown,729729,Quality Vending and Coffee Service,No Commission,Jim Jackson,Maximum Sales: $200.00; Depleted Products: 2; Days Without Visit: 42,Dynamic,,,4,Vending,Net 30,,,Tax Exempt,,,No
