Branch,Route,Location,Place,Telemetry Device ID,Asset ID,Asset Type,Asset Class,Selection,Group,Item,Item Code,Current Level,Par,Depletion Limit,Capacity,Price,Desired Price,Has Price Mismatch,Avg Weekly Vends,Days Since Last Sale,Has Pending Planogram Change,Column Number,Quantity
Quality Vending and Coffee Service,Route 13,Autoline Products - 50249,SNACKS,C015016520090,3495,NAT 168M,Snack,C4,,Jack Link s Teriyaki Steak Strip Bar,880167,6,6,2,20,$3.50,$3.50,No,0.4403,12.86,No,4,0
Quality Vending and Coffee Service,Route 13,Autoline Products - 50249,SNACKS,C015016520090,3495,NAT 168M,Snack,C5,,Excel Multipac 27 s,455001,7,10,2,20,$2.25,$2.25,No,0.6482,1.85,No,5,0
Quality Vending and Coffee Service,Route 13,Autoline Products - 50249,SNACKS,C015016520090,3495,NAT 168M,Snack,C6,,CLIF Bar Chocolate Chip,573142,7,7,2,15,$2.75,$2.75,No,0.2751,12.86,No,6,0
Quality Vending and Coffee Service,Route 13,Autoline Products - 50249,SNACKS,C015016520090,3495,NAT 168M,Snack,C7,,Halls Honey Lemon,362004,24,24,2,38,$2.25,$2.25,No,0.133,58.78,No,7,0
Quality Vending and Coffee Service,Route 13,Autoline Products - 50249,SNACKS,C015016520090,3495,NAT 168M,Snack,D0,,OH Henry,252001,10,10,2,15,$2.25,$2.25,No,0.4669,8.85,No,0,0
Quality Vending and Coffee Service,Route 13,Autoline Products - 50249,SNACKS,C015016520090,3495,NAT 168M,Snack,D1,,Mars,254001,8,10,2,15,$2.25,$2.25,No,1.1067,0.86,No,1,0
Quality Vending and Coffee Service,Route 13,Autoline Products - 50249,SNACKS,C015016520090,3495,NAT 168M,Snack,D2,,Hershey Special Dark Chocolate,252009,12,12,2,15,$2.25,$2.25,No,,156.86,No,2,0
Quality Vending and Coffee Service,Route 13,Autoline Products - 50249,SNACKS,C015016520090,3495,NAT 168M,Snack,D3,,Snickers,254006,10,10,2,16,$2.25,$2.25,No,0.5068,7.86,No,3,0
Quality Vending and Coffee Service,Route 13,Autoline Products - 50249,SNACKS,C015016520090,3495,NAT 168M,Snack,D4,,Snickers,254006,10,10,2,16,$2.25,$2.25,No,,154.86,No,4,0
Quality Vending and Coffee Service,Route 13,Autoline Products - 50249,SNACKS,C015016520090,3495,NAT 168M,Snack,D5,,Coffee Crisp,251004,7,8,2,15,$2.25,$2.25,No,0.7602,1.85,No,5,0
Quality Vending and Coffee Service,Route 13,Autoline Products - 50249,SNACKS,C015016520090,3495,NAT 168M,Snack,D6,,Kit Kat,251010,5,6,2,15,$2.25,$2.25,No,0.7469,5.87,No,6,0
Quality Vending and Coffee Service,Route 13,Autoline Products - 50249,SNACKS,C015016520090,3495,NAT 168M,Snack,D7,,OH Henry,252001,8,10,2,16,$2.25,$2.25,No,0.4466,7.86,No,7,0
Quality Vending and Coffee Service,Route 13,Autoline Products - 50249,SNACKS,C015016520090,3495,NAT 168M,Snack,E0,,FL Big Grab Hickory Sticks,152039,3,7,2,9,$2.25,$2.25,No,0.553,5.87,No,0,0
Quality Vending and Coffee Service,Route 13,Autoline Products - 50249,SNACKS,C015016520090,3495,NAT 168M,Snack,E2,,FL Sun Chips Garden salsa,211053,4,5,2,11,$1.75,$1.75,No,1.4714,2.86,No,2,0
Quality Vending and Coffee Service,Route 13,Autoline Products - 50249,SNACKS,C015016520090,3495,NAT 168M,Snack,E4,,OD Big Bag Crunchy s Nacho Cheese,154009,4,5,2,9,$2.25,$2.25,No,0.3465,19.86,No,4,0
Quality Vending and Coffee Service,Route 13,Autoline Products - 50249,SNACKS,C015016520090,3495,NAT 168M,Snack,E6,,Huer Sour Brats,880465,4,5,2,9,$2.50,$2.50,No,0.2135,19.86,No,6,0
Quality Vending and Coffee Service,Route 13,Transcona Trailer Sales,,C014415520705,4416,NAT 797D,Snack,A0,,FL Sun Chips Harvest Cheddar,211054,0,3,0,9,$1.50,$1.50,No,0.3269,19.53,No,0,0
Quality Vending and Coffee Service,Route 13,Transcona Trailer Sales,,C014415520705,4416,NAT 797D,Snack,A2,,FL Sun Chips Garden salsa,211053,0,3,0,9,$1.50,$1.50,No,0.3136,13.86,No,2,0
Quality Vending and Coffee Service,Route 13,Transcona Trailer Sales,,C014415520705,4416,NAT 797D,Snack,A4,,FL Sun Chips French Onion,211059,0,5,0,9,$1.50,$1.50,No,,239.87,No,4,0
Quality Vending and Coffee Service,Route 13,Transcona Trailer Sales,,C014415520705,4416,NAT 797D,Snack,A6,,OD Salt+Vinegar Chips,152004,0,3,0,9,$1.50,$1.50,No,,107.49,No,6,0
Quality Vending and Coffee Service,Route 13,Transcona Trailer Sales,,C014415520705,4416,NAT 797D,Snack,A8,,OD Sour Cream+Onion Chips,152005,0,3,0,9,$1.50,$1.50,No,0.56,22.53,No,8,0
Quality Vending and Coffee Service,Route 13,Transcona Trailer Sales,,C014415520705,4416,NAT 797D,Snack,B0,,FL Big Grab Doritos Nacho Cheese Tortilla Chips,206017,0,3,0,9,$2.00,$2.00,No,0.5467,0.52,No,0,0
Quality Vending and Coffee Service,Route 13,Transcona Trailer Sales,,C014415520705,4416,NAT 797D,Snack,B2,,FL Big Grab Doritos Zesty Cheese Tortilla Chips,206018,0,4,2,9,$2.00,$2.00,No,0.3598,19.85,No,2,0
Quality Vending and Coffee Service,Route 13,Transcona Trailer Sales,,C014415520705,4416,NAT 797D,Snack,B4,,FL Big Grab Doritos Sweet Chili Heat Tort Chips,206023,4,5,0,9,$2.00,$2.00,No,0.3402,6.86,No,4,0
Quality Vending and Coffee Service,Route 13,Transcona Trailer Sales,,C014415520705,4416,NAT 797D,Snack,B6,,FL Big Grab Ruffles All Dressed chips,206019,1,3,0,9,$2.00,$2.00,No,0.287,27.82,No,6,0
Quality Vending and Coffee Service,Route 13,Transcona Trailer Sales,,C014415520705,4416,NAT 797D,Snack,B8,,OD Big Bag Ketchup Chips,154028,1,3,2,9,$2.00,$2.00,No,0.2198,16.87,No,8,0
Quality Vending and Coffee Service,Route 13,Transcona Trailer Sales,,C014415520705,4416,NAT 797D,Snack,C0,,OH Henry,252001,1,3,0,17,$2.25,$2.25,No,0.2667,23.85,No,0,0
Quality Vending and Coffee Service,Route 13,Transcona Trailer Sales,,C014415520705,4416,NAT 797D,Snack,C1,,Kit Kat,251010,3,3,0,17,$2.25,$2.25,No,,126.82,No,1,0
Quality Vending and Coffee Service,Route 13,Transcona Trailer Sales,,C014415520705,4416,NAT 797D,Snack,C2,,FL Munchies Honey Sweet Trail Mix,153113,3,3,0,17,$2.00,$2.00,No,,174.53,No,2,0
Quality Vending and Coffee Service,Route 13,Transcona Trailer Sales,,C014415520705,4416,NAT 797D,Snack,C3,,Innovation Bars,157004,-3,3,0,17,$2.25,$2.25,No,0.3598,12.85,No,3,0
Quality Vending and Coffee Service,Route 13,Transcona Trailer Sales,,C014415520705,4416,NAT 797D,Snack,C4,,M+M Peanuts,254005,0,3,0,17,$2.25,$2.25,No,0.4536,20.53,No,4,0
Quality Vending and Coffee Service,Route 13,Transcona Trailer Sales,,C014415520705,4416,NAT 797D,Snack,C5,,Snickers,254006,2,3,0,17,$2.50,$2.50,No,0.3465,2.53,No,5,0
Quality Vending and Coffee Service,Route 13,Transcona Trailer Sales,,C014415520705,4416,NAT 797D,Snack,C6,,Coffee Crisp,251004,2,3,2,17,$2.25,$2.25,No,0.1589,34.49,No,6,0
Quality Vending and Coffee Service,Route 13,Transcona Trailer Sales,,C014415520705,4416,NAT 797D,Snack,C7,,Twix,254008,0,3,0,17,$2.25,$2.25,No,0.3906,22.86,No,7,0
Quality Vending and Coffee Service,Route 13,Transcona Trailer Sales,,C014415520705,4416,NAT 797D,Snack,C8,,CLIF Bar Chocolate Chip,573142,3,3,0,17,$2.75,$2.75,No,,121.48,No,8,0
Quality Vending and Coffee Service,Route 13,Transcona Trailer Sales,,C014415520705,4416,NAT 797D,Snack,C9,,Excel Multipac 27 s,455001,2,3,2,20,$2.00,$2.00,No,,106.82,No,9,0
Quality Vending and Coffee Service,Route 13,Transcona Trailer Sales,,C014415520705,4416,NAT 797D,Snack,E0,,CC Coke Zero 355ml Can,101022,5,6,0,15,$1.50,$1.50,No,0.14,28.49,No,0,0
Quality Vending and Coffee Service,Route 13,Transcona Trailer Sales,,C014415520705,4416,NAT 797D,Snack,E1,,PC 7 Up 355ml Can,102003,5,6,2,15,$1.50,$1.50,No,0.3136,20.86,No,1,0
Quality Vending and Coffee Service,Route 13,Transcona Trailer Sales,,C014415520705,4416,NAT 797D,Snack,E2,,PC Lipton Brisk 355ml Can,103001,6,6,0,15,$1.50,$1.50,No,,119.82,No,2,0
Quality Vending and Coffee Service,Route 13,Transcona Trailer Sales,,C014415520705,4416,NAT 797D,Snack,E3,,PC Mountain Dew 355ml Can,102010,6,6,0,15,$1.50,$1.50,No,,263.53,No,3,0
Quality Vending and Coffee Service,Route 13,Transcona Trailer Sales,,C014415520705,4416,NAT 797D,Snack,E4,,PC Mug Root Beer 355ml Can,102009,6,6,2,15,$1.50,$1.50,No,0.0469,77.48,No,4,0
Quality Vending and Coffee Service,Route 13,Transcona Trailer Sales,,C014415520705,4416,NAT 797D,Snack,F0,A,PC Pepsi Cola 355ml Can,102001,-10,12,0,60,$1.50,$1.50,No,2.7069,14.53,No,0,0
Quality Vending and Coffee Service,Route 13,Transcona Trailer Sales,,C014415520705,4416,NAT 797D,Snack,F1,A,PC Pepsi Cola 355ml Can,102001,0,0,,0,$1.50,$1.50,No,,"1,608.63",No,1,0
Quality Vending and Coffee Service,Route 13,Transcona Trailer Sales,,C014415520705,4416,NAT 797D,Snack,F2,B,CC Coke Classic 355ml Can,101001,10,12,2,60,$1.50,$1.50,No,0.5054,13.53,No,2,0
Quality Vending and Coffee Service,Route 13,Transcona Trailer Sales,,C014415520705,4416,NAT 797D,Snack,F3,B,CC Coke Classic 355ml Can,101001,0,0,,0,$1.50,$1.50,No,,"1,656.61",No,3,0
Quality Vending and Coffee Service,Route 13,Transcona Trailer Sales,,C014415520705,4416,NAT 797D,Snack,F4,,PC Dr Pepper 355ml Can,102008,1,6,0,30,$1.50,$1.50,No,0.6531,13.53,No,4,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,101,A,OD Sour Cream+Onion Chips,152005,10,12,2,18,$1.75,$1.75,No,3.4132,9.53,No,1,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,103,A,OD Sour Cream+Onion Chips,152005,0,0,,0,$1.75,$1.75,No,,960.53,No,3,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,105,B,OD Popcorn Twists,153105,19,18,2,18,$1.75,$1.75,No,5.0666,2.2,No,5,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,107,B,OD Popcorn Twists,153105,0,0,,0,$1.75,$1.75,No,,585.86,No,7,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,109,C,OD Big Bag BBQ Corn Chips,154008,17,18,2,18,$2.25,$2.25,No,7.6069,0.2,No,9,1
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,111,C,OD Big Bag BBQ Corn Chips,154008,0,0,,0,$2.25,$2.25,No,,894.53,No,11,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,201,,OD Big Bag Jalapeno & Cheddar Chips,15410,10,9,2,9,$2.25,$2.25,No,5.047,0.2,No,1,1
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,203,,OD Big Bag Arriba Nacho Tortilla Chips,154013,11,9,2,9,$2.25,$2.25,No,4.837,2.53,No,3,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,205,,OD Big Ridgies Extra Ketchup Chips,880472,12,9,2,9,$2.25,$2.25,No,4.1769,9.53,No,5,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,207,,OD Big Bag Salt & Vinegar Chips,154025,7,9,2,9,$2.25,$2.25,No,3.4069,0.53,No,7,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,209,,OD Big Bag Sour Cream & Onion,154027,11,9,2,9,$2.25,$2.25,No,5.6931,0.53,No,9,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,211,,OD Big Bag Mexican Chili Chips,154029,9,9,2,9,$2.25,$2.25,No,4.1664,11.53,No,11,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,301,,Huer Cola Bottles,880337,14,15,2,15,$2.50,$2.50,No,6.0536,1.19,No,1,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,303,,Big Daddy Oatmeal Raisin Cookies,880328,8,9,2,9,$2.50,$2.50,No,0.7735,0.2,No,3,1
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,305,,Big Daddy Chocolate Chunk Cookies,880326,0,9,2,9,$2.50,$2.50,No,2.387,12.53,No,5,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,307,,Big Daddy Chocolate Chunk Cookies,880326,0,9,2,9,$2.50,$2.50,No,2.52,11.86,No,7,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,309,,OD Hawkins Cheezies,156002,8,9,2,9,$2.25,$2.25,No,4.3533,0.53,No,9,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,311,,OD Hawkins Cheezies,156002,9,9,2,9,$2.25,$2.25,No,3.1801,11.53,No,11,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,401,,Innovation Bars,157004,10,10,2,17,$2.25,$2.25,No,2.3667,11.53,No,1,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,402,,Smarties,251007,11,10,2,17,$2.25,$2.25,No,2.3534,9.53,No,2,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,403,,Caramilk,253002,14,15,2,18,$2.25,$2.25,No,5.313,2.2,No,3,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,404,,Sesame Snaps King Size,580011,0,5,2,18,$2.00,$2.00,No,0.8141,22.53,No,4,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,405,,M+M Peanuts,254005,14,15,2,17,$2.25,$2.25,No,6.5331,1.19,No,5,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,406,,Coffee Crisp,251004,16,15,2,17,$2.25,$2.25,No,2.9302,2.2,No,6,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,407,G,OH Henry,252001,11,15,2,34,$2.25,$2.25,No,4.9532,0.2,No,7,1
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,408,G,OH Henry,252001,0,0,,0,$2.25,$2.25,No,,"3,465.41",No,8,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,409,H,Reese s Peanut Butter Cups,252007,17,20,2,34,$2.25,$2.25,No,9.6467,0.2,No,9,2
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,410,H,Reese s Peanut Butter Cups,252007,0,0,,0,$2.25,$2.25,No,,"3,467.41",No,10,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,411,,Breathsavers Peppermint,359003,7,5,2,17,$2.00,$2.00,No,2.5018,11.53,No,11,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,412,,Halls Honey Lemon,362004,10,12,2,17,$2.00,$2.00,No,1.267,11.53,No,12,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,501,,Skittles Tropical,354011,19,15,2,17,$2.50,$2.50,No,5.3935,24.53,No,1,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,502,,Mentos Peppermint,573140,0,5,2,17,$2.00,$2.00,No,1.1669,0.2,No,2,3
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,503,,Skittles - Original (Red),354012,21,15,2,17,$2.50,$2.50,No,8.8333,12.53,No,3,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,504,,CLIF Bar Chocolate Chip,573142,16,15,2,17,$2.75,$2.75,No,2.1868,0.53,No,4,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,505,,Mars,254001,17,15,2,17,$2.25,$2.25,No,4.7467,2.2,No,5,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,506,,Clif Bar Builder s Chocolate Peanut Butter,573146,14,15,2,15,$3.50,$3.50,No,1.5666,10.86,No,6,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,507,,Kind Bar Assorted 18 s,251016,11,10,2,15,$3.00,$3.00,No,0.7399,15.19,No,7,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,508,,FL Munchies Salted Peanuts,153112,10,10,2,17,$2.25,$2.25,No,0.84,11.2,No,8,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,509,,Snickers,254006,14,15,2,17,$2.25,$2.25,No,5.1534,0.2,No,9,1
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,510,,Twix,254008,13,15,2,17,$2.25,$2.25,No,4.7131,0.2,No,10,1
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,511,1,Jack Link s Teriyaki Steak Strip Bar,880167,16,18,2,34,$3.50,$3.50,No,7.9331,0.2,No,11,1
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,512,1,Jack Link s Teriyaki Steak Strip Bar,880167,0,0,,0,$3.50,$3.50,No,,"3,464.91",No,12,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,601,2,Huer Sour Neon Worms,507201,35,26,2,26,$3.00,$3.00,No,15.54,12.53,No,1,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,603,2,Huer Sour Neon Worms,507201,0,0,,0,$2.50,$3.00,Yes,,"3,465.91",No,3,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,605,,Huer Gummy Sour Suckers,880336,18,15,2,15,$3.00,$3.00,No,7.6531,0.2,No,5,1
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,607,,Huer Sour Brats,880465,13,15,2,17,$3.00,$3.00,No,5.2864,0.2,No,7,1
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,609,3,Welch Mixed Fruit Snacks,507106,30,30,2,30,$2.00,$2.00,No,11.8265,11.53,No,9,0
Quality Vending and Coffee Service,Route 04,MTS Iceplex (Entrance) - 50566,OLD DUTCH ONLY,C014614841462,1056,NAT 981,Snack,611,3,Welch Mixed Fruit Snacks,507106,0,0,,0,$2.00,$2.00,No,,582.53,No,11,0
Quality Vending and Coffee Service,Route 04,Wellington College - 50148,SNACKS,C011819050012,574,NAT 168 D,Snack,A0,,OD Sour Cream+Onion Chips,152005,3,7,2,9,$1.75,$1.75,No,0.5936,5.52,No,0,0
Quality Vending and Coffee Service,Route 04,Wellington College - 50148,SNACKS,C011819050012,574,NAT 168 D,Snack,A2,,OD Original Chips,152001,4,4,2,9,$1.75,$1.75,No,0.0469,82.49,No,2,0
Quality Vending and Coffee Service,Route 04,Wellington College - 50148,SNACKS,C011819050012,574,NAT 168 D,Snack,A4,,OD Salt+Vinegar Chips,152004,4,5,2,9,$1.75,$1.75,No,0.4935,15.53,No,4,0
Quality Vending and Coffee Service,Route 04,Wellington College - 50148,SNACKS,C011819050012,574,NAT 168 D,Snack,A6,,FL Baked Ruffles Cheddar & Sour Cream Chips,206001,3,4,2,9,$1.75,$1.75,No,0.8715,8.53,No,6,0
Quality Vending and Coffee Service,Route 04,Wellington College - 50148,SNACKS,C011819050012,574,NAT 168 D,Snack,B0,,OD Big Bag Arriba Zesty Tortilla Chips,154014,3,4,2,9,$2.25,$2.25,No,0.5733,33.82,No,0,0
Quality Vending and Coffee Service,Route 04,Wellington College - 50148,SNACKS,C011819050012,574,NAT 168 D,Snack,B2,,OD Big Bag Arriba Nacho Tortilla Chips,154013,1,4,2,9,$2.25,$2.25,No,0.4151,8.53,No,2,0
Quality Vending and Coffee Service,Route 04,Wellington College - 50148,SNACKS,C011819050012,574,NAT 168 D,Snack,B4,,OD Big Bag Jalapeno & Cheddar Chips,15410,2,4,2,9,$2.25,$2.25,No,0.3598,2.53,No,4,0
Quality Vending and Coffee Service,Route 04,Wellington College - 50148,SNACKS,C011819050012,574,NAT 168 D,Snack,B6,,OD Big Bag Sea Salt & Malt Vinegar,880092,4,5,2,9,$2.25,$2.25,No,,86.48,No,6,0
Quality Vending and Coffee Service,Route 04,Wellington College - 50148,SNACKS,C011819050012,574,NAT 168 D,Snack,C0,,OD Big Bag BBQ Corn Chips,154008,3,4,2,9,$2.25,$2.25,No,0.1064,16.53,No,0,0
Quality Vending and Coffee Service,Route 04,Wellington College - 50148,SNACKS,C011819050012,574,NAT 168 D,Snack,C2,,Huer Sour Peach Slices,880464,2,4,2,11,$2.75,$2.75,No,0.3731,1.53,No,2,0
Quality Vending and Coffee Service,Route 04,Wellington College - 50148,SNACKS,C011819050012,574,NAT 168 D,Snack,C4,2,FL Sun Chips Harvest Cheddar,211054,5,8,2,18,$1.75,$1.75,No,0.2933,15.87,No,4,0
Quality Vending and Coffee Service,Route 04,Wellington College - 50148,SNACKS,C011819050012,574,NAT 168 D,Snack,C6,2,FL Sun Chips Harvest Cheddar,211054,0,0,,0,$1.75,$1.75,No,,"3,474.82",No,6,0
Quality Vending and Coffee Service,Route 04,Wellington College - 50148,SNACKS,C011819050012,574,NAT 168 D,Snack,D0,3,Dentyne Multipac 24 s,453012,0,4,2,34,$2.00,$2.00,No,,138.82,No,0,0
